id,book_id,excerpt,spell_id,char_id
127,3,"and were getting closer, … expectopatronum! Harry yelled, trying to blot the screaming from his ears, expectopatronum! a thin wisp of silver escaped his wand and hovered like mist be_fore him, at the same",26,1
128,3,"as though to sweep the patronus aside, no — no — Harry gasped, he’s innocent … expecto — expectopatronum — he could feel them watching him, hear their rattling breath like an evil wind around him,",26,1
129,3,"be all right, i’m going to go and live with him, expectopatronum! hermione, help me! expectopatronum! expecto — hermione whispered, expecto — expecto — but she couldn’t do it, the dementors were",26,1
130,3,"feet from them, they formed a solid wall around Harry and hermione, and were getting closer, … expectopatronum! Harry yelled, trying to blot the screaming from his ears, expectopatronum! a thin wisp of",26,1
131,3,"fight … expecto pa_tronum … he couldn’t see … and in the distance, he heard the fa_miliar screaming … expectopatronum … he groped in the mist for sirius, and found his arm … they weren’t going to take",26,1
132,3,"for the third time, and the de_mentor rose out of it; the room fell cold and dark — expectopatronum! Harry bellowed, expecto pa_tronum! expectopatronum! the screaming inside Harry’s head had started again — except",26,1
133,3,"glided forward, drawing its breath; one rotting hand was extending toward Harry — expectopatronum! Harry yelled, expectopatronum! expecto pat — white fog obscured his senses … big, blurred shapes were mov_ing around him …",26,1
134,3,"ground, pale as death, he’ll be all right, i’m going to go and live with him, expectopatronum! hermione, help me! expectopatronum! expecto — hermione whispered, expecto — expecto — but she",26,1
135,3,"his thoughts back to that first broom ride, expecto patrono — no, patronum — sorry — expectopatronum, expectopatronum — something whooshed suddenly out of the end of his wand; it looked like a wisp of silvery",26,1
136,3,"moment, Harry felt hermione collapse next to him, he was alone … completely alone, … expecto — expectopatronum — Harry felt his knees hit the cold grass, fog was clouding his eyes, with a huge",26,1
137,3,"once more, the dementor glided forward, drawing its breath; one rotting hand was extending toward Harry — expectopatronum! Harry yelled, expectopatronum! expecto pat — white fog obscured his senses … big, blurred shapes",26,1
138,3,"possible the won_derful, soaring sensation of his stomach, the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh",26,20
139,3,"quickly forcing his thoughts back to that first broom ride, expecto patrono — no, patronum — sorry — expectopatronum, expectopatronum — something whooshed suddenly out of the end of his wand; it looked like a wisp",26,1
140,3,"rose out of it; the room fell cold and dark — expectopatronum! Harry bellowed, expecto pa_tronum! expectopatronum! the screaming inside Harry’s head had started again — except this time, it sounded as though it",26,1
141,3,"silently toward Harry, drawing a deep, rattling breath, a wave of piercing cold broke over him — expectopatronum! Harry yelled, expectopatronum! ex_pecto — but the classroom and the dementor were dissolving, … Harry",26,1
142,3,"the dursleys, he forced himself to think of black, and only black, and began to chant : expectopatronum! expectopatronum! black gave a shudder, rolled over, and lay motionless on the ground, pale",26,1
143,3,"the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh — yeah — said Harry, quickly forcing his thoughts",26,1
144,3,"think, plunging a hand down the neck of his robes, he whipped out his wand and roared, expectopatronum! something silver-white, something enormous, erupted from the end of his wand, he knew it had",26,1
145,3,"to remember — sirius was inno_cent — innocent — we’ll be okay — i’m going to live with him — expectopatronum! he gasped, by the feeble light of his formless patronus, he saw a dementor halt,",26,1
146,3,"won_derful, soaring sensation of his stomach, the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh — yeah",26,1
147,4,"of getting out of the maze and celebrating with ron and hermione, raised his wand, and cried, expectopatronum! a silver stag erupted from the end of Harry’s wand and galloped toward the dementor, which fell",26,1
148,5,"beneath its robes, sucking on the night as it came, stumbling backward, Harry raised his wand, expectopatronum! a silvery wisp of vapor shot from the tip of the wand and the de_mentor slowed, but",26,1
149,5,"bonus point …? Harry raised his wand, looked directly at umbridge, and imagined her being sacked, expectopatronum! the silver stag erupted from the end of his wand and cantered the length of the hall,",26,1
150,5,"scabbed hands slid from inside the dementor’s robes, reaching for him, a rushing noise filled Harry’s ears, expectopatronum! his voice sounded dim and distant, … another wisp of silver smoke, feebler than the last",26,1
151,5,see ron and hermione again — and their faces burst clearly into his mind as he fought for breath — expectopatronum! an enormous silver stag erupted from the tip of Harry’s wand; its antlers caught the dementor in,26,1
152,7,", Harry told a completely bemused mrs. cattermole, bit unfortunate, really … come on, hermione, … expectopatronum! a silver otter burst from the end of hermione’s wand and swam gracefully through the air to join",26,2
153,7,"a terrible scream of fear as a slimy, scabbed hand grasped her chin and forced her face back, expectopatronum! the silver stag soared from the tip of Harry’s wand and leaped toward the dementors, which fell",26,1
154,7,"brightly, toward the door, as many as we can muster; do yours, hermione, expec — expectopatronum, said hermione, nothing happened, it’s the only spell she ever has trouble with, Harry told",26,2
155,7,"dementor’s kiss, whatever happened afterward, it was of ron and hermione that he thought as he whispered, expectopatronum! the silver stag burst from his wand and charged : the dementors scattered and there was a triumphant",26,1
156,7,"potter’s! stag! roared the barman, and he pulled out a wand, stag! you idiot — expectopatronum! something huge and horned erupted from the wand : head down, it charged toward the high street",26,22
157,7,"seriously, have you grown to care for the boy, after all? for him? shouted snape, expectopatronum! from the tip of his wand burst the silver doe : she landed on the office floor,",26,23
158,2,— both of them swung their wands above their heads and pointed them at their opponent; snape cried : expelliarmus! there was a dazzling flash of scarlet light and lockhart was blasted off his feet : he flew,27,23
159,2,"as a school prefect — but Harry had lost his tem_per, he pulled out his wand and shouted, expelliarmus! and just as snape had disarmed lockhart, so malfoy found the diary shoot_ing out of his hand",27,1
160,2,"book — Harry reached his wand just in time, lockhart had barely raised his, when Harry bellowed, expelliarmus! lockhart was blasted backward, falling over his trunk; his wand flew high into the air;",27,1
161,3,"a split second, before snape could take even one step toward him, he had raised his wand, expelliarmus! he yelled — except that his wasn’t the only voice that shouted, there was a blast that",27,1
162,3,"it looked like a skull, his yellow teeth were bared in a grin, it was sirius black, expelliarmus! he croaked, pointing ron’s wand at them, Harry’s and hermione’s wands shot out of their hands",27,4
